6.30143e+06	15.6563
0.793631	-8.7197	told reporters
0.987395	-8.8227	president george w. bush
0.834192	-8.95838	middle east
0.919441	-8.98752	less than
0.643151	-9.09955	is expected to
0.791552	-9.13034	based on
0.769849	-9.27608	as part of
0.833532	-9.2851	known as
0.688852	-9.30991	next year
0.552504	-9.31613	this week
0.563341	-9.31654	south africa
0.696349	-9.35528	los angeles
0.88484	-9.37003	czech republic
0.720588	-9.38354	vice president
0.739696	-9.43232	next week
0.965714	-9.46257	told afp
0.558824	-9.46446	years ago
0.738095	-9.48099	away from
0.329293	-9.49451	, according to
0.445952	-9.50526	on saturday
0.880672	-9.52043	as a result
0.973029	-9.53263	web site
0.246721	-9.55663	the united states
0.789398	-9.5793	each other
0.879218	-9.58023	next month
0.993166	-9.58354	san francisco
0.745455	-9.59605	their own
0.472251	-9.60185	last month
0.350923	-9.61527	on tuesday
0.957589	-9.63621	state - owned
0.509917	-9.64791	set up
0.79257	-9.65017	defense minister
0.578642	-9.65242	north korea
0.500942	-9.66463	new zealand
0.401294	-9.66889	world cup
0.590351	-9.67025	white house
0.829268	-9.67734	first half
0.866157	-9.68389	no longer
0.706258	-9.68769	south african
0.843352	-9.68868	in recent years
0.808403	-9.69221	sept. 11
0.858801	-9.71044	here today
0.71875	-9.71503	to avoid
0.665476	-9.73652	be able to
0.833962	-9.74634	new jersey
0.77451	-9.74976	cease - fire
0.339235	-9.75894	the country 's
0.581157	-9.76311	a lot of
0.797872	-9.77158	earlier this month
0.62095	-9.77746	five years
0.766063	-9.78062	six months
0.991667	-9.78414	kuala lumpur
0.628219	-9.78967	chief executive
0.73839	-9.79011	victory over
0.677083	-9.79164	1 - 0
0.66879	-9.79462	saudi arabia
0.731183	-9.80306	responsible for
0.540791	-9.80335	aimed at
0.697055	-9.80681	2 - 0
0.711144	-9.81103	international community
0.52789	-9.81209	west bank
0.726994	-9.81292	interest rates
0.889655	-9.81451	bird flu
0.997093	-9.81871	latin america
0.428803	-9.82811	in a statement
0.985632	-9.83108	defending champion
0.640682	-9.83483	two weeks
0.36122	-9.84506	on sunday
0.298213	-9.84668	new york
0.613559	-9.84679	wall street
0.993939	-9.86705	shut down
0.773832	-9.88562	even though
0.943978	-9.89381	joint venture
0.978852	-9.89639	picked up
0.825806	-9.89676	presidential election
0.608696	-9.90112	the two sides
0.677467	-9.9126	2 - 1
0.990536	-9.91331	puerto rico
0.953353	-9.91351	u.n. security council
0.543726	-9.91504	sri lanka
0.76616	-9.92133	communist party
0.95	-9.92902	terrorist attacks
0.830664	-9.94583	champions league
0.112001	-9.94991	:
0.670181	-9.95818	returned to
0.630872	-9.96396	calls for
0.380289	-9.98411	could be
0.916185	-9.98444	grand prix
0.996564	-9.9867	real estate
0.873351	-9.98785	as soon as
0.565702	-9.99372	the west bank
0.649046	-9.99619	the rest of
0.631285	-10.0019	peace talks
0.852041	-10.0028	natural gas
0.919403	-10.0091	make sure
0.919162	-10.0126	more than 100
0.567506	-10.0157	deal with
0.969697	-10.0208	san diego
0.931464	-10.0245	too much
0.602614	-10.029	economic growth
